Timestamp,5. What is your affiliation with Granite School District? ,6. Which school do you represent or have students at? ,7. Which high school network do you belong to? ,"Which of the following, if any, does your feedback best pertain to? (You may choose more than one)","8. Please use this space to add any specific comments or information that you would like to share with the Population Analysis Committee and GSD School Board Members for evaluation. 
"
9/4/2025 1:47:57,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 9. Rosecrest El",Olympus,"The ALC Program, Morningside Closure","Closing Eastwood makes sense, and that conclusion kind of jumps off the page. Closing Morningside, and the associated boundary changes, also makes sense given its proximity to other schools and its isolated boundary near Rosecrest. Two things that don’t seem to make as much sense:
1. “Closing” morningside but keeping it open with even fewer students. Isn’t one of the primary purposes to save money by gaining efficiencies?  This seems to do the opposite of that. Fewer students, but they still need an office staff, principal, library, janitorial, lunch, arts, building maintenance, etc.  
2. Consolidating the ALC program to Woodstock.  That isn’t even in the area where any of the affected families live.  Consolidating it at a more central location would make more sense for all of the families… otherwise are we just shifting any savings to the cost to bussing and/or adding an extra 40 min of commute time each day?  Are we just going to push more families to consider private options or to abandon the program (I hope not)?  And if morningside isn’t closing, why make that change at all?  What is gained by this consolidation?  Why not keep the ALC program at Morningside (if it’s going to be kept open anyway) or move French to Woodstock, where a more central location would be a benefit for attracting more students from across the valley?  Or, close Morningside completely and adjust the boundaries of the area schools to create space for the two programs at separate schools but within the area?  This latter suggested change should free up significant annual resources ($2M?) to invest in the students across the area (dance, music, art, technology, more full time K, etc). "
9/8/2025 10:49:18,C) I am an employee of Granite School District,5. Morningside El,Skyline,"The ALC Program, The DLI Program, Other","Thank you for taking the time to read and consider the feedback regarding the recent announcement of the PAC's recommendation to the board.
Of course I have personal feelings regarding the recommended school closures because I am employed at one of those schools.  But I recognize that there is often a need for change, and that change is inevitably a tricky thing to navigate.    
What I feel most confused by is the seeming disparity between what was presented at the public meetings as the main problem and reason for school closures and the proposed outcome of the closures.  Every reason that was touted--changing demographics, need for increased enrollment for robust schools and programs, and safe travel routes--seems to have been set aside to instead promote a singular area of focus for each school. 
If having a specific focus for each school is the actual aim, that should be made clear as the district's goal.  Perhaps that is something that can be clarified in coming discussions and meetings.
Additionally, if Morningside unique program is recommended as a DLI school, perhaps another DLI program could be added so that there will be a four class model from the get go.  For example, move the Chinese DLI from Oakwood to share the school with the French DLI at Morningside.  Similarly, if the district has desires to continue to serve their gifted learner population, the board might consider moving the ALC program to a more central location in the district so that more students from the west side could attend, or to create a strictly ALC program school.  That way there won't be the discrepancy between two or more programs, creating the them vs. us mentality that the district stated it wanted to avoid."
9/9/2025 12:42:09,A) I am a parent / patron with students attending one of the schools in the boundary study.,"4. Eastwood El, 5. Morningside El, 11. Churchill Jr",Skyline,"The ALC Program, A Boundary Change, Eastwood Closure","My family lives next to Eastwood Elementary and our daughter attends Churchill (7th grade). For elementary school she attended the Morningside ALC Program. While the closure of Eastwood does not affect my daughter's education, it does have a direct impact on my family and those around us. We (and many other neighbors) use the open space at Eastwood. It provides a safe space for us and our kids to play at without having to cross major roads and intersections. Furthermore, I would like to point out that there are many other user groups that may not be aware of the closure, including groups that use the open space for youth soccer, softball, baseball, and other such users like paragliders who use it as a landing space. 

Many of our open spaces in urban are under threat of development. While I'm not here to comment on whether or not this is justified or if there is a conflict of interest, I do want to make it clear that the current green/open space at Eastwood should remain green/open space. We do not want housing or commercial development to take over this space. There is a rumor that the school will be used for a fire department. Most of my neighbors agree that this would be a good use of the property so long as the green/open space is not developed and remains accessible to all user groups. 

Thank you 
"
9/10/2025 19:53:27,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"The ALC Program, Morningside Closure","I work at the University of Utah, which is in the Salt Lake City School District area. We (my family) don't live in the SLC school district region because we want to stay closer to Morningside, as we want to send my kid to Morningside, which has an excellent ALC program, and it has a high rating on GreatSchool. Each day, my wife and I commute to work through heavy traffic because we want to make sure our daughter gets the best education. I humbly request that the ALC program be kept at Morningside or at the Area 5 neighbor school.  If the ALC program is dissolved from Morningside, we might pull my daughter out of the Granite School District and send her to either a private school or a charter school. "
9/15/2025 15:55:19,A) I am a parent / patron with students attending one of the schools in the boundary study.,"2. Crestview El, 5. Morningside El",Olympus,"The ALC Program, Morningside Closure","We have moved into the region to attend the Skyline network with plans for my children to complete the IB program at Skyline.  The ALC was a big draw for us for the region and to attend Morningside Elementary.  We attended the ALC meeting at Morningside on 9/11.

We walked into the meeting with an completely open mind about attending Woodstock for ALC with the closure of Morningside.  

However, it was very disappointing to see that the data provided was incomplete.  When questions arose about the districts data for this region as well other regions withing Granite there was no appropriate answer.  No specific were provided except for the information in the 11 slides that were presented.   None of the questions were answered appropriately, and there was no attempt to convince any of the parents that this was the correct decision based on the data presented and ability to answer the questions.  My overall take was the district is doing a disservice to the area 5 population and specifically the ALC program.  The decision seems premature.  In fact It is to the point that I cannot in good faith plan to send my child to a non-skyline network school if the district is treating the ALC children this way.  I have lots my faith in the ability for Granite School District to teach the Gifted and Talented children appropriately.  I feel as if it is better to stay within Granite but in the Skyline network based on the long standing reputation of high academic excellence in this network.    

In my mind the simplest answer is to keep the ALC program at Morningside along with the French DLI program.  It seems like there is no way for the French program to be full in the next 1-2 years.  The District should treat Morningside as a DLI and ALC magnet similar to the ALC and Spanish DLI school on the west side.  This would make a comparable school on the opposite side of the Valley with an ALC option within the Skyline network.   I would also ask for the board to commission an analysis on the entire ALC program (not only at Morningside but the rather the entire district) in order to make a unified and better decision in the next 2-3 years.   
"
9/15/2025 20:12:52,,5. Morningside El,Skyline,The ALC Program,As stated in the meeting please don’t decrease ALC classrooms. You need to meet the educational requirements of our children and this program does this. Why take away a program that truly works? And I’m certain that the Woodstock move is too disruptive
9/17/2025 12:49:49,"B) I live within the boundaries of one of the affected schools, but do not have children attending at this time.",1. Cottonwood El,Cottonwood,A Boundary Change,"I was happy to hear that Cottonwood Elementary was not a proposed school to close. My hope is that it will make the cut when the final vote happens. We are very close to the Cottonwood Elementary boundary and are planning to submit an open permit. This would allow my child to stay with her cohort of preschool friends, we love the bi-weekly music program, STEM, and the weekly arts program. "
9/18/2025 9:38:24,A) I am a parent / patron with students attending one of the schools in the boundary study.,"1. Cottonwood El, 5. Morningside El, 14. Wasatch Jr",Skyline,"The ALC Program, Morningside Closure",Keep ALC program and move to Area 5 school- Cottonwood or Upland Terrace would be good options!
9/18/2025 21:28:21,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure," I urge you to consider the educational needs of Morningside Traditional Learners.  The Morningside parent and teacher representatives on the PAC study subcommittee were all DLI and Accelerated Learning. The subcommittee failed to represent Traditional Track Morningside families in any way. The PAC has crafted solutions that beautifully meet the needs of DLI and Accelerated Learning families. The solutions do not address any concerns brought up through public comment by Traditional Track Morningside families. Due to our lack of representation on the subcommittee, please consider the following modification to PAC's recommendation: 

Proceed with PAC recommendations with the following single modification:
 
Keep Morningside open as a French DLI AND Traditional Track School. Follow a congruent model to William Penn and other immersion schools in Granite School District.
Justification & Benefits to Granite School District and Students:
·       Increased retention of students in Granite School District. Students often fluctuate in and out of immersion programs. If a student decides that French DLI is not a good fit, they can simply switch to the Traditional Track within the same school. This will increase the likelihood of out-of-district students that were attracted to the DLI school to remain within Granite School District if they decide to leave DLI. 
·       Prevent overcrowding and exceptionally large class sizes at Oakridge. Eastwood boundary students can be split between Morningside and Oakridge to create more balanced schools.
o   A projected new enrollment of 520 at Oakridge with a max building capacity of 550 is very risky to future enrollment needs.
·       Increased student safety. Morningside boundary students have a much safer walk to Morningside compared to walking to Driggs. As a parent, the thought of 100+ Morningside boundary students walking along 4500 S to Driggs is terrifying. If families choose to drive, the drop off/pick up zone will be extremely congested, creating hazards to students and staff on campus.
·       Allow special education students to continue to thrive. Morningside Elementary has one of the strongest special education teams in the district. Dismantling this skilled team will result in harmful implications to some of our district’s most vulnerable learners. 

Thank you for your dedication to our community and for seeking public input throughout this process. 
"
9/19/2025 21:37:25,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 11. Churchill Jr",Skyline,The DLI Program,"If you choose to make Morningside a DLI school, I think it would be VERY UNWISE TO CHANGE THE NAME. 

Morningside has a reputation of being a good school. Because French is a less popular language than Spanish, it will be more difficult to grow. I think possible with some work, but I think you will need to rely on Morningside’s name for recognition and reputation.   

Plus, most French names might be difficult for non French speaker to say and/or spell (much more than Spanish).  Both of these make googling, talking about, and remembering a school’s name very difficult. "
9/20/2025 3:39:54,"B) I live within the boundaries of one of the affected schools, but do not have children attending at this time.",4. Eastwood El,Skyline,Eastwood Closure,I do not support the closure of Eastwood Elementary. I attended the school as a child and presently live two streets away. The education provided is unmatched and closing this school would be devastating and profoundly impactful in a negative way. I urge decision makers to find another solution.
9/20/2025 21:50:59,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"The DLI Program, A Boundary Change, Morningside Closure","Morningside is an excellent school with a deep sense of community among its families. It’s located in a well-established neighborhood in which families plan to live through their whole lives. My mother attended Morningside in the early 1960s (and my father attended Eastwood), I played at Morningside’s playgrounds nearly every week for years in the 1990s, and now I live in my mother’s childhood home with my own little family, and have a first grader in the DLI program there. She loves her teachers and so do we. We love our quick walk to and from school twice a day, where we meet with friends and our cousins on the way, and chat with the crossing guard who we’ve gotten to know. Closing Morningside would let so many people down. Having a DLI and ALC program alongside standard curriculum all housed at our local school is a privilege. My child is neurodivergent and has anxiety. If she feels at some point that a second language is too overwhelming, but then has to change schools because of it, she’s being asked to take on a burden too large for her and that I can’t fix. She is not alone in this. Please let us stay. All of us."
9/22/2025 10:58:48,A) I am a parent / patron with students attending one of the schools in the boundary study.,3. Driggs El,Skyline,"A Boundary Change, Morningside Closure, Other","I want to thank the Board and District leadership for the thoughtful, thorough, and courageous approach taken in developing the proposed changes shared on September 2. From the beginning, this process has been transparent and grounded in long-term thinking — not just about buildings and boundaries, but about what will best serve Granite’s students and families in the years ahead.

I am particularly grateful that you did not take the “easy” route and back down in response to some of the louder voices who criticized the process early on. Instead, you stayed focused on the data, the needs of the district, and the importance of building a stronger, more sustainable future. That takes leadership.

The recommendations reflect what I hoped to see: careful analysis, community input, and a clear commitment to what’s best for kids — not just what’s easiest politically. Please know that many of us in the community see and appreciate the integrity and responsibility with which this process has been carried out."
9/22/2025 14:10:21,E) I choose not to answer,4. Eastwood El,Other,Eastwood Closure,"I am a part of the outdoor and green space loving community. I would hate to see the closure of Eastwood elementary school lead to a loss of green space or recreation space. In this instance, near and dear to my heart, is the ability for free flight enthusiasts to use the green space as a landing zone when school is not in session. This type of activity is unique and makes the greater Salt Lake area so unique! Please keep this land green and open — whether as a school, park, or community rec space - Please, Please, Please, for our recreation, and our health, leave it green and open."
9/22/2025 17:19:07,A) I am a parent / patron with students attending one of the schools in the boundary study.,"2. Crestview El, 5. Morningside El",Olympus,"The ALC Program, Morningside Closure","The ALC program at Morningside meets the educational needs of our child in a unique way. I urge the board to keep the entire program intact, including staff such as the social worker [Teacher name removed] who is integral to the success of my child and other kids. Like many others in the ALC program, our child is both exceptionally academically gifted (she has standardized IQ scores in the 99 to 99.9% nationally) and also has special needs [identyfing information removed]. She tried a private school for kindergarten and the gifted cluster at Crestview for first grade and neither of them provided the combination of educational rigor and behavioral support she needs. Finally, in second grade, we have found what she needs at Morningside. The program is extremely successful and experienced at helping these very capable but challenging kids thrive, largely because of the integration/coordination among extremely experienced classroom teachers and the social worker [teacher name removed]. She even offers something our child’s psychologist recommended that we can’t find anywhere else even in private settings: a social skills group for gifted kids. Simply opening ALC classes at another school rather than moving the entire program as a whole would not be nearly adequate to meet our daughter’s needs. I hope the board will seriously consider keeping the entire program intact wherever it goes. 

I’d also like to mention that the gifted clusters in local classrooms, while a good idea and despite wonderful teachers, are seriously inadequate for academically gifted kids. We’ve had two children in them and they learned almost nothing all year because they started years ahead of grade level. They have stayed with same-age neighborhood peers for social-emotional reasons, but the district really shouldn’t let academic talent like that be so wasted when leveled learning isn’t that hard to implement."
9/22/2025 19:10:27,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"The DLI Program, A Boundary Change, Morningside Closure","I have questions about the proposed changes to the DLI Morningside program: 1. When will Kindergarten start? 2. Will general programs still be part of that school such as PE, art, music, the library? 3. What is the risk this program moves or ends if enrollment is not as high as projected?"
9/22/2025 19:52:27,A) I am a parent / patron with students attending one of the schools in the boundary study.,9. Rosecrest El,Olympus,"The ALC Program, Other","Dear PAC Committee,

Thank you for the thoughtful work you are doing on the boundary and program study. I know these decisions are difficult and will have lasting impacts on schools and families across our district.

While the ALC program at Morningside may not be especially large in terms of enrollment, the cultural impact of hosting a specialty program within a small neighborhood school can be significant. When only part of a school participates in a program, it can create a divide between students who are in it and those who are not. This impacts school culture and community relationships in ways that numbers and data do not always show.

As a Rosecrest parent, I want to be clear that I do not want the ALC program placed at Rosecrest. Our school is already small, and I believe introducing a separate program would create unnecessary division instead of strengthening our community.

I believe each school should have one clear identity. If a school has a specialty program, that program should involve the entire school community rather than dividing it between multiple tracks. For this reason, I thought the idea of combining the ALC program at Woodstock made sense. Centralizing the program is more sustainable, and if families truly value ALC, they will be willing to travel to access it.

Thank you for considering this perspective as you move forward in your decision-making process.

Sincerely,
[Name removed]"
9/23/2025 9:07:09,E) I choose not to answer,4. Eastwood El,Other,Eastwood Closure,"Hello to the GSD School Board Members,

I'm [name removed] a Utah paraglider pilot who recently heard of the changes happening within the GSD, particularly the closure of Eastwood Elementary. I imagine closing a school is no easy decision or feat. So I'm simply writing to express my love for the school as a legacy paragliding landing zone. 

My first mountain flight in the Wasatch was from Grandeur, and I remember feeling grateful for the green school yard as I soared thousands of feet over the city. The landing was safe and uneventful, like most landings within our community. 

No matter what decisions are made about Eastwood Elementary, I hope the grounds remain an open green rec space for everyone in the community to enjoy. Please know you have the support of Utah Hang gliding and Paragliding pilots.

Best wishes for the students, teachers, parents, and school board involved.

Sincerely,
[name removed]"
9/23/2025 11:53:03,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Olympus,Eastwood Closure,"I wanted to share my support of the closure of Eastwood.  Overall we enjoy the school but have seen the negative impact of having a small school population.  

I would like to see more information about how student and teacher support will increase with the combination of Eastwood and Oakridge.  What additional programs, support, etc can be added with a larger school population?

- Split classes are difficult for both students and teachers
- We left a private school with only one class per grade to come to Eastwood hoping for more than one class per grade.  Having the ability to break up/separate some kids for a year can be really helpful, but with only one class this isn't an option. It also gives an opportunity for best fit of teacher to student.  
- Reduced student support has been seen with the smaller school population.  There is more reliance on parent support in the classroom, some of the other STEM, Art, and special education programs cannot be fully staffed with the lower school population. 
- More teacher pressure- with fewer staff the main teacher gets much less planning time.  

Notes:
Eastwood is not our home school.  We should be at William Penn.  
The support for not closing eastwood seems to be coming primarily from ""eastwood is my home school"" families.  We have no connection to Eastwood other than some other friends who happen to be there, ie have have ""no skin in the game"", we will be driving to any school we go to.  This support doesn't seem to have anything to do with child outcomes but a ""not in my backyard"".  
I would much rather have my kids be at a larger school with more teacher and student support, more opportunities for friends.  This is what I feel will happen with the combo of eastwood and oakridge.
At this point we will most likely not stay at eastwood going forward, it feels like it will only get smaller as many people are discussing their options.  

"
9/23/2025 12:28:09,"B) I live within the boundaries of one of the affected schools, but do not have children attending at this time.",4. Eastwood El,Olympus,Eastwood Closure,"I strongly oppose the proposed closure of Eastwood Elementary. One of the main reasons I purchased my home in this neighborhood was its proximity to quality schools. If Eastwood closes, Oakridge will be pushed to max capacity, effectively doubling class sizes and diminishing the quality of education. Our property taxes continue to rise, with nearly a third going to schools, so it is unacceptable to claim Eastwood is suddenly unsustainable after serving our community for over 50 years. Any funds collected locally should be fully reallocated to support Oakridge—not redistributed to other towns.

I am also very concerned about what happens to the Eastwood property. Selling to the highest bidder would almost certainly bring a shopping plaza or high-density housing, both of which would increase traffic and negatively impact property values. The town must commit to protecting our neighborhood schools, ensuring tax dollars benefit our children directly, and guaranteeing that any repurposing of Eastwood serves the community—not outside developers."
